SpikeDown,304,96,0C750EA9,0,1,1,4294967295,0,0
SpikeUp,304,480,A626B9C8,0,1,1,4294967295,0,0
SpikeUp,304,272,BD4171F7,0,1,1,4294967295,0,0
SpikeDown,304,304,1C7D9D95,0,1,1,4294967295,0,0
SpikeUp,432,80,08A429A3,0,1,1,4294967295,0,0
SpikeLeft,416,16,A582C1EC,0,1,1,4294967295,0,0
SpikeLeft,416,560,08E6028E,0,1,1,4294967295,0,0
SpikeDown,432,496,05A77714,0,1,1,4294967295,0,0
SpikeRight,416,400,707B2839,0,1,1,4294967295,0,0
SpikeRight,416,176,5C7F7A3E,0,1,1,4294967295,0,0
SpikeLeft,448,176,8C209034,0,1,1,4294967295,0,0
SpikeLeft,448,400,1D815ED4,0,1,1,4294967295,0,0
SpikeUp,512,128,F93BD6FE,0,1,1,4294967295,0,0
SpikeDown,512,448,4CDC2A1F,0,1,1,4294967295,0,0
SpikeDown,864,192,5E369398,0,1,1,4294967295,0,0
SpikeUp,864,384,B9C1794F,0,1,1,4294967295,0,0
SpikeLeft,1024,176,48137AF1,0,1,1,4294967295,0,0
SpikeLeft,1024,400,7B080566,0,1,1,4294967295,0,0
SpikeUp,528,96,7F742593,0,1,1,4294967295,0,0
SpikeUp,544,128,2D5E5CD0,0,1,1,4294967295,0,0
SpikeDown,528,480,9BC3459E,0,1,1,4294967295,0,0
SpikeDown,544,448,DA520DF7,0,1,1,4294967295,0,0
SpikeRight,544,32,7FD09A9C,0,1,1,4294967295,0,0
SpikeRight,544,544,5D7DAC56,0,1,1,4294967295,0,0
SpikeUp,576,96,8E969907,0,1,1,4294967295,0,0
SpikeDown,576,480,E7D5BDAA,0,1,1,4294967295,0,0
SpikeUp,592,64,BAE899DA,0,1,1,4294967295,0,0
SpikeDown,592,512,1FD6C60B,0,1,1,4294967295,0,0
SpikeDown,624,144,8AF2CE16,0,1,1,4294967295,0,0
SpikeUp,624,432,5ED576D2,0,1,1,4294967295,0,0
SpikeLeft,608,0,F339BD36,0,1,1,4294967295,0,0
SpikeLeft,608,576,68E65FE9,0,1,1,4294967295,0,0
SpikeUp,560,384,BF8CEE30,0,1,1,4294967295,0,0
SpikeDown,560,192,BCF7D689,0,1,1,4294967295,0,0
SpikeUp,528,272,E66520D6,0,1,1,4294967295,0,0
SpikeDown,528,304,33406107,0,1,1,4294967295,0,0
SpikeUp,736,272,6EDAD9D4,0,1,1,4294967295,0,0
SpikeDown,736,304,02CFEFA3,0,1,1,4294967295,0,0
SpikeUp,800,256,59DAE698,0,1,1,4294967295,0,0
SpikeDown,800,320,BDD85533,0,1,1,4294967295,0,0
SpikeDown,768,208,ACC1B1FC,0,1,1,4294967295,0,0
SpikeUp,768,368,48DCCD9D,0,1,1,4294967295,0,0
SpikeDown,176,192,0E450DA4,0,1,1,4294967295,0,0
SpikeUp,176,384,7D7370F1,0,1,1,4294967295,0,0
SpikeRight,1264,160,52599638,0,1,1,4294967295,0,0
SpikeLeft,1296,288,2175AED5,0,1,1,4294967295,0,0
SpikeRight,1264,416,76C09350,0,1,1,4294967295,0,0
SpikeDown,1088,176,8FF7DC4B,0,1,1,4294967295,0,0
SpikeUp,1088,400,40A1F5A8,0,1,1,4294967295,0,0
SpikeRight,1232,144,9906317F,0,1,1,4294967295,0,0
SpikeRight,1232,432,2E90AFE7,0,1,1,4294967295,0,0
SpikeUp,1120,48,EBF52A91,0,1,1,4294967295,0,0
SpikeDown,1120,528,04A2BB3D,0,1,1,4294967295,0,0
SpikeLeft,1248,72,183E597A,0,1,1,4294967295,0,0
SpikeLeft,1248,504,F732BAA9,0,1,1,4294967295,0,0
SpikeUp,1392,96,31D0C57F,0,1,1,4294967295,0,0
SpikeDown,1392,480,57202C4D,0,1,1,4294967295,0,0
SpikeDown,1328,384,8010757F,0,1,1,4294967295,0,0
SpikeDown,1456,448,2DC92DBE,0,1,1,4294967295,0,0
SpikeRight,1488,288,0E886083,0,1,1,4294967295,0,0
SpikeUp,1424,96,5BF89149,0,1,1,4294967295,0,0
SpikeUp,1456,128,1E8AA5DE,0,1,1,4294967295,0,0
SpikeUp,1440,64,9C6B24A7,0,1,1,4294967295,0,0
SpikeDown,1424,480,6B59A460,0,1,1,4294967295,0,0
SpikeDown,1440,512,D3AC44E8,0,1,1,4294967295,0,0
SpikeLeft,1568,288,A58B1F08,0,1,1,4294967295,0,0
